symbol,name
600848.sh,自仪股份
600849.sh,上药转换
600850.sh,华东电脑
600851.sh,海欣股份
600852.sh,*ST中川
600853.sh,龙建股份
600854.sh,春兰股份
600855.sh,航天长峰
600856.sh,长百集团
600857.sh,宁波中百
600858.sh,银座股份
600859.sh,王府井
600860.sh,京城股份
600861.sh,北京城乡
600862.sh,南通科技
600863.sh,内蒙华电
600864.sh,哈投股份
600865.sh,百大集团
600866.sh,星湖科技
600867.sh,通化东宝
600868.sh,梅雁吉祥
600869.sh,智慧能源
600870.sh,*ST厦华
600871.sh,石化油服
600872.sh,中炬高新
600873.sh,梅花生物
600874.sh,创业环保
600875.sh,东方电气
600876.sh,洛阳玻璃
600877.sh,中国嘉陵
600878.sh,*ST北科
600879.sh,航天电子
600880.sh,博瑞传播
600881.sh,亚泰集团
600882.sh,华联矿业
600883.sh,博闻科技
600884.sh,杉杉股份
600885.sh,宏发股份
600886.sh,国投电力
600887.sh,伊利股份
600888.sh,新疆众和
600889.sh,南京化纤
600890.sh,中房股份
600891.sh,秋林集团
600892.sh,宝诚股份
600893.sh,中航动力
600894.sh,广日股份
600895.sh,张江高科
600896.sh,中海海盛
600897.sh,厦门空港
600898.sh,三联商社
600899.sh,*ST信联
600900.sh,长江电力
600917.sh,重庆燃气
600958.sh,东方证券
600959.sh,江苏有线
600960.sh,渤海活塞
600961.sh,株冶集团
600962.sh,*ST中鲁
600963.sh,岳阳林纸
600965.sh,福成五丰
600966.sh,博汇纸业
600967.sh,北方创业
600969.sh,郴电国际
600970.sh,中材国际
600971.sh,恒源煤电
600973.sh,宝胜股份
600975.sh,新五丰
600976.sh,健民集团
600978.sh,宜华木业
600979.sh,广安爱众
600980.sh,北矿磁材
600981.sh,汇鸿股份
600982.sh,宁波热电
600983.sh,惠而浦
600984.sh,*ST建机
600985.sh,雷鸣科化
600986.sh,科达股份
600987.sh,航民股份
600988.sh,赤峰黄金
600990.sh,四创电子
600991.sh,广汽长丰
600992.sh,贵绳股份
600993.sh,马应龙
600995.sh,文山电力
600997.sh,开滦股份
600998.sh,九州通
600999.sh,招商证券
601000.sh,唐山港
601001.sh,大同煤业
601002.sh,晋亿实业
601003.sh,柳钢股份
601005.sh,重庆钢铁
601006.sh,大秦铁路
601007.sh,金陵饭店
601008.sh,连云港
601009.sh,南京银行
601010.sh,文峰股份
601011.sh,宝泰隆
601012.sh,隆基股份
601015.sh,陕西黑猫
601016.sh,节能风电
601018.sh,宁波港
601021.sh,春秋航空
601028.sh,玉龙股份
601038.sh,一拖股份
601058.sh,赛轮金宇
601069.sh,西部黄金
601088.sh,XD中国神
601098.sh,XD中南传
601099.sh,太平洋
601100.sh,恒立油缸
601101.sh,昊华能源
601106.sh,中国一重
601107.sh,四川成渝
601111.sh,中国国航
601113.sh,华鼎股份
601116.sh,三江购物
601117.sh,中国化学
601118.sh,海南橡胶
601126.sh,四方股份
601137.sh,博威合金
601139.sh,深圳燃气
601158.sh,重庆水务
601166.sh,兴业银行
601168.sh,西部矿业
601169.sh,北京银行
601177.sh,杭齿前进
601179.sh,中国西电
601186.sh,中国铁建
601188.sh,龙江交通
601198.sh,东兴证券
601199.sh,江南水务
601208.sh,东材科技
601211.sh,国泰君安
601216.sh,内蒙君正
601218.sh,吉鑫科技
601222.sh,林洋电子
601225.sh,陕西煤业
601226.sh,华电重工
601231.sh,环旭电子
601233.sh,桐昆股份
601238.sh,广汽集团
601258.sh,庞大集团
601268.sh,*ST二重
601288.sh,农业银行
601299.sh,中国北车
601311.sh,骆驼股份
601313.sh,江南嘉捷
601318.sh,中国平安
601328.sh,交通银行
601333.sh,广深铁路
601336.sh,新华保险
601339.sh,百隆东方
601368.sh,绿城水务
601369.sh,陕鼓动力
601377.sh,兴业证券
601388.sh,怡球资源
601390.sh,中国中铁
601398.sh,工商银行
601515.sh,东风股份
601518.sh,吉林高速
601519.sh,大智慧
601555.sh,东吴证券
601558.sh,华锐风电
601566.sh,九牧王
601567.sh,三星电气
601579.sh,会稽山
601588.sh,北辰实业
601599.sh,鹿港科技
601600.sh,中国铝业
601601.sh,中国太保
601607.sh,上海医药
601608.sh,中信重工
601616.sh,广电电气
601618.sh,中国中冶
601628.sh,中国人寿
601633.sh,长城汽车
601636.sh,旗滨集团
601666.sh,平煤股份
601668.sh,中国建筑
601669.sh,中国电建
601677.sh,明泰铝业
601678.sh,滨化股份
601688.sh,华泰证券
601689.sh,拓普集团
601699.sh,潞安环能
601700.sh,风范股份
601717.sh,郑煤机
601718.sh,际华集团
601727.sh,上海电气
601766.sh,中国中车
601777.sh,力帆股份
601788.sh,光大证券
601789.sh,宁波建工
601798.sh,蓝科高新
601799.sh,星宇股份
601800.sh,中国交建
601801.sh,皖新传媒
601808.sh,中海油服
601818.sh,光大银行
601857.sh,中国石油
601866.sh,中海集运
601872.sh,招商轮船
601877.sh,正泰电器
601880.sh,大连港
601886.sh,XD江河创
601888.sh,中国国旅
601890.sh,亚星锚链
601898.sh,中煤能源
601899.sh,紫金矿业
601901.sh,方正证券
601908.sh,京运通
601918.sh,国投新集
601919.sh,中国远洋
601928.sh,凤凰传媒
601929.sh,吉视传媒
601933.sh,永辉超市
601939.sh,建设银行
601958.sh,金钼股份
601965.sh,中国汽研
601968.sh,宝钢包装
601969.sh,海南矿业
601985.sh,中国核电
601988.sh,中国银行
601989.sh,中国重工
601991.sh,大唐发电
601992.sh,金隅股份
601996.sh,丰林集团
601998.sh,中信银行
601999.sh,出版传媒
603000.sh,人民网
603001.sh,奥康国际
603002.sh,宏昌电子
603003.sh,龙宇燃油
603005.sh,晶方科技
603006.sh,联明股份
603008.sh,喜临门
603009.sh,北特科技
603010.sh,万盛股份
603011.sh,合锻股份
603012.sh,创力集团
603015.sh,弘讯科技
603017.sh,园区设计
603018.sh,设计股份
603019.sh,中科曙光
603020.sh,爱普股份
603021.sh,山东华鹏
603022.sh,新通联
603023.sh,威帝股份
603025.sh,大豪科技
603026.sh,石大胜华
603030.sh,全筑股份
603066.sh,音飞储存
603077.sh,和邦股份
603085.sh,天成自控
603088.sh,宁波精达
603099.sh,长白山
603100.sh,川仪股份
603108.sh,润达医疗
603111.sh,康尼机电
603116.sh,红蜻蜓
603117.sh,万林股份
603118.sh,共进股份
603123.sh,翠微股份
603126.sh,中材节能
